timestamp,speed,x,y,z
1749238919.3557582,6.78083,177.421,74.0102,975.986
1749238919.3627968,6.93912,177.489,74.0098,975.987
1749238919.3693044,7.09744,177.558,74.0095,975.987
1749238919.3759053,7.09744,177.558,74.0095,975.987
1749238919.383414,7.2558,177.629,74.0092,975.987
1749238919.3894122,7.41419,177.702,74.0089,975.987
1749238919.3964322,7.41419,177.702,74.0089,975.987
1749238919.4031422,7.57259,177.776,74.0087,975.987
1749238919.4093118,7.73102,177.852,74.0085,975.987
1749238919.415324,7.73102,177.852,74.0085,975.987
1749238919.4225035,7.88945,177.929,74.0083,975.987
1749238919.4295032,8.04789,178.008,74.0081,975.987
1749238919.4365232,8.04789,178.008,74.0081,975.987
1749238919.443076,8.20632,178.089,74.008,975.987
1749238919.4490745,8.36473,178.171,74.008,975.988
1749238919.4566085,8.36473,178.171,74.008,975.988
1749238919.4626305,8.52313,178.254,74.0081,975.988
1749238919.4691365,8.6815,178.34,74.0082,975.988
1749238919.476151,8.6815,178.34,74.0082,975.988
1749238919.482663,8.83983,178.426,74.0084,975.988
1749238919.4896617,8.99813,178.515,74.0086,975.988
1749238919.4958177,8.99813,178.515,74.0086,975.988
1749238919.5028882,9.15638,178.605,74.0089,975.988
1749238919.5094147,9.31458,178.697,74.0091,975.988
1749238919.5159247,9.31458,178.697,74.0091,975.988
1749238919.5229406,9.47273,178.79,74.0093,975.988
1749238919.5299585,9.63082,178.885,74.0095,975.989
1749238919.5364687,9.63082,178.885,74.0095,975.989
1749238919.5429754,9.78887,178.981,74.0098,975.989
1749238919.5489938,9.94686,179.079,74.01,975.989
1749238919.5571156,9.94686,179.079,74.01,975.989
1749238919.5632458,10.1048,179.179,74.0102,975.989
1749238919.5693629,10.2627,179.28,74.0104,975.989
1749238919.5758896,10.2627,179.28,74.0104,975.989
1749238919.5823946,10.4205,179.382,74.0106,975.989
1749238919.5894105,10.5783,179.487,74.0108,975.989
1749238919.5959167,10.5783,179.487,74.0108,975.989
1749238919.6029694,10.7361,179.592,74.011,975.989
1749238919.6089838,10.8938,179.7,74.0111,975.99
1749238919.6160235,10.8938,179.7,74.0111,975.99
1749238919.6230216,11.0515,179.809,74.0112,975.99
1749238919.6290765,11.2091,179.919,74.0113,975.99
1749238919.6361063,11.2091,179.919,74.0113,975.99
1749238919.6426115,11.3668,180.032,74.0114,975.99
1749238919.6496115,11.5244,180.145,74.0114,975.99
1749238919.6563115,11.5244,180.145,74.0114,975.99
1749238919.662818,11.682,180.26,74.0114,975.99
1749238919.6698194,11.8397,180.377,74.0114,975.991
1749238919.6760778,11.8397,180.377,74.0114,975.991
1749238919.6825814,11.9973,180.496,74.0114,975.991
1749238919.6895852,12.1549,180.616,74.0113,975.991
1749238919.6966197,12.1549,180.616,74.0113,975.991
1749238919.7031255,12.3126,180.737,74.0112,975.991
1749238919.7096329,12.4702,180.86,74.0111,975.991
1749238919.7168157,12.4702,180.86,74.0111,975.991
