prevtime,prevspeed,prevx,prevy,prevz,prevcp,currtime,currspeed,curx,cury,curz,curcp,move,turn,angle,dist,reward
13512758,5.98486,720.0,90.0131,369.111,0.0,13512774,6.29945,720.0,90.0121,369.232,0.0,0,2,-0.5040186241090057,0.3515804837892098,6.147011859680204
13513274,14.2007,720.0,90.0107,374.319,0.0,13513291,14.3585,720.0,90.0105,374.461,0.0,0,2,-0.6115632723905087,0.4063510479571839,14.153287775566675
13513791,22.2584,720.0,90.0101,383.577,0.0,13513808,22.5743,720.0,90.0098,384.024,0.0,0,2,-0.9873729463373513,1.185131948192824,22.772059001855474
13514308,28.2978,720.0,90.0074,397.108,0.0,13514324,28.2961,720.0,90.0071,397.673,1.0,0,2,-0.20645568500196276,1.6860292508540198,29.775673565852056
13514824,32.1947,719.98,90.0208,412.519,1.0,13514841,32.2959,719.973,90.0208,412.841,1.0,0,2,-0.2005468025190993,0.9613936974588597,33.056746894939764
13515324,37.6255,718.338,90.0177,429.87,1.0,13515358,37.9528,718.192,90.0186,430.993,1.0,0,2,-0.0006587228747285678,3.39735246476603,41.34949374189131
13515841,43.1941,715.623,90.0187,450.286,1.0,13515874,43.631,715.393,90.019,452.006,1.0,0,2,-0.0114278889517756,5.20584767155637,48.8254197826046
13516358,46.7567,712.654,90.0199,473.49,1.0,13516374,46.9734,712.577,90.0209,474.424,1.0,0,2,-0.09509113685941539,2.808472323373927,49.68678118651451
13516874,52.2946,712.177,90.0245,499.225,2.0,13516891,52.3992,712.221,90.0258,499.747,2.0,0,2,-1.9045800999030078,0.9129718576226082,51.4075917577196
13517391,56.8628,719.236,90.0353,526.109,2.0,13517408,56.9798,719.754,90.0384,527.122,2.0,0,0,-3.0372700453805623,0.19124644262987545,54.133776397249314
13517908,5.95064,725.06,90.362,542.808,2.0,13517924,5.94907,724.95,90.3452,543.099,2.0,0,1,-1.5991858813358926,0.6510221818707578,5.000906300534865
13518424,1.29732,724.178,90.02,545.959,2.0,13518441,1.27527,724.177,90.016,545.968,2.0,2,1,-2.1335705734536266,0.013120336530249688,-5.845180236923377
13518941,0.327153,724.215,90.0119,546.347,2.0,13518958,0.611598,724.216,90.0087,546.356,2.0,0,1,-2.5814880409238063,0.0075096907729346185,-1.9623803501508719
13519458,6.34432,723.997,90.0107,547.969,2.0,13519474,6.61518,723.97,90.011,548.095,2.0,0,1,-1.9595738750157263,0.2155251793772095,4.871131304361483
13519974,13.5634,721.646,90.0177,552.453,2.0,13519991,13.7052,721.554,90.0183,552.552,2.0,0,2,-0.9317756933352008,0.3622736933122326,13.135697999977031
13520491,21.5882,714.512,90.0114,557.756,2.0,13520508,21.9034,714.147,90.012,557.99,2.0,0,2,-0.4672967847140663,1.2654788209598422,22.701582036245778
13521008,28.2647,703.322,90.0095,564.855,2.0,13521024,28.2613,702.844,90.0093,565.157,2.0,0,2,-0.5070003848316293,1.642280049377291,29.396579664545662
13521524,31.7536,690.434,90.0203,572.993,2.0,13521541,31.8619,690.166,90.0205,573.163,2.0,0,2,-0.5856352968078964,0.9117093815048918,32.18797408469699
13522041,37.1753,675.361,90.0255,582.023,2.0,13522058,37.3879,674.682,90.0276,582.331,2.0,0,2,-0.41928573208567066,2.1882293322926643,39.156843600207
13522558,42.8227,655.665,90.0226,588.598,2.0,13522574,43.0409,654.841,90.0235,588.838,2.0,0,2,-0.20193831517794258,2.5617850263968975,45.40074671121896
13523074,46.4731,633.305,90.0203,595.053,2.0,13523091,46.5766,632.857,90.0203,595.176,2.0,0,1,-0.2847047183674283,1.3798003914414565,47.671695673074026
13523591,51.911,608.571,90.0096,598.693,2.0,13523608,52.1293,607.534,90.0107,598.764,2.0,0,2,-0.05880099417551854,3.117029170091115,55.187528175915595
13524108,56.8251,580.351,90.0262,597.467,3.0,13524124,56.9629,579.234,90.0211,597.248,3.0,0,2,-1.056689704203956,2.95051997310577,58.85673026890181
13524624,60.4327,550.65,90.0178,590.637,3.0,13524641,60.5021,550.062,90.0173,590.495,3.0,0,2,-1.054179622013959,1.5688183809803036,61.01673875896634
13525141,63.8395,519.707,90.0305,583.802,3.0,13525158,63.9606,518.438,90.033,583.655,3.0,0,0,-1.406608054367032,2.9263386956549198,65.48033064128788
13525658,65.3503,486.598,90.0345,587.977,3.0,13525675,40.7143,485.931,90.042,587.965,3.0,0,1,-1.7838554134411195,1.2580365592192493,-206.1715188542219
13526174,22.1782,474.348,90.0134,581.778,3.0,13526191,22.096,474.199,90.024,581.613,3.0,0,1,-0.185451989261054,0.6640957948234245,22.57464380556237
13526691,21.0579,470.868,90.0218,572.145,3.0,13526708,21.3548,470.836,90.018,571.723,3.0,0,0,-1.1559980877477614,1.0636879991126875,21.262489911364927
