prevtime,prevspeed,prevx,prevy,prevz,prevcp,currtime,currspeed,curx,cury,curz,curcp,move,turn,angle,dist,reward
13527208,28.2285,467.459,90.0121,559.716,3.0,13527224,28.21,467.257,90.0132,559.189,3.0,0,1,-0.6122976316107867,1.614599612399104,29.212301980788318
13527724,20.4735,466.36,90.0373,545.364,3.0,13527741,16.3727,466.311,90.0269,545.317,3.0,0,1,-0.20419469383198585,0.2026305309436509,16.371135837111662
13528241,-0.0877037,465.955,90.0104,544.909,3.0,13528258,-0.0678668,465.953,90.0115,544.91,3.0,2,0,-2.6607016373157037,0.0015974891175005723,-7.659104148198203
13528758,-3.28757,465.472,90.0177,545.195,3.0,13528774,-3.46702,465.413,90.0174,545.226,3.0,1,0,-2.705962667055317,0.043233225979179224,-7.662729441076138
13529274,-7.85839,462.715,90.0187,545.957,3.0,13529291,-7.93661,462.637,90.0183,545.966,3.0,1,1,-1.989336181698711,0.128351109341736,-6.860985072356975
13529791,-11.1497,458.132,90.014,547.672,3.0,13529808,-11.0145,457.956,90.0125,547.808,3.0,2,2,-3.114580028191302,0.00931635738581349,-3.1052636708054884
13530308,-4.35429,455.311,90.0331,551.007,3.0,13530324,-4.0196,455.276,90.0281,551.085,3.0,0,2,-4.130625883569387,-0.12169138125489098,-4.252317264824278
13530824,3.31857,455.25,90.0156,551.158,3.0,13530841,3.44637,455.259,90.015,551.126,3.0,0,2,-1.857005682706241,0.05974272618954046,1.6491070434832995
13531341,10.1881,455.669,90.0173,547.809,3.0,13531358,10.4669,455.659,90.017,547.604,3.0,0,2,-1.231505579033037,0.5027323360355638,9.738126757002528
13531858,17.5837,453.044,90.0226,541.282,3.0,13531874,17.8958,452.813,90.0226,541.015,3.0,0,2,-0.0819874627177608,1.0582857000934212,18.87209823737566
13532374,25.3062,445.687,90.0401,532.996,3.0,13532391,25.4504,445.571,90.0398,532.771,3.0,0,1,-0.38770588944067264,0.7452180335855587,25.807912144144886
13532891,28.2752,443.145,90.0158,519.236,3.0,13532908,28.4928,443.054,90.019,518.677,3.0,0,2,-1.0809814118731964,1.4574830452593233,28.869301633386126
13533408,33.9438,439.005,90.0219,503.627,3.0,13533424,34.1622,438.807,90.0226,502.975,3.0,0,2,-0.8839987060558379,1.8483969365329642,35.12659823047713
