prevtime,prevspeed,prevx,prevy,prevz,prevcp,currtime,currspeed,curx,cury,curz,curcp,move,turn,angle,dist,reward
13535924,-2.47966e-05,720.0,90.003,368.0,0.0,13535941,-2.64971e-05,720.0,90.003,368.0,0.0,0,2,0.0,0.0,0.0
13536441,7.87729,720.0,90.0062,369.929,0.0,13536458,8.19501,720.0,90.006,370.088,0.0,0,2,-0.0,0.477000000000146,8.672010000000146
13536958,16.0947,720.0,90.0079,376.123,0.0,13536974,16.4115,720.0,90.008,376.446,0.0,0,2,-0.0,0.9690000000001078,17.380500000000108
13537474,24.3096,720.0,90.009,386.588,0.0,13537491,24.4678,720.0,90.009,386.831,0.0,0,2,-0.0,0.728999999999985,25.196799999999985
13537991,28.29,720.0,90.0108,400.492,1.0,13538008,28.2908,720.0,90.0122,401.058,1.0,0,2,-0.1725848162704322,1.6917199543262456,29.809935138055813
13538508,32.8796,720.0,90.0193,416.442,1.0,13538524,32.6628,720.0,90.0189,417.097,1.0,2,2,-0.2083157500071895,1.9544397762338406,34.40892402622665
13539024,18.3103,720.0,90.0265,430.637,1.0,13539041,17.9494,720.0,90.0261,430.82,1.0,1,2,-0.25308409314169644,0.5446228399065447,18.240938746764847
13539541,6.34666,720.0,90.0133,436.379,1.0,13539558,6.11047,720.0,90.0128,436.505,1.0,1,2,-0.2777780943328718,0.37436785300485553,6.207059758671984
13540041,0.00115429,720.0,90.0152,437.825,1.0,13540057,0.00449973,720.0,90.0148,437.826,1.0,2,2,-0.2842173580100651,0.0029697591596331563,-5.276747868850432
13540558,4.88224,720.0,90.006,439.275,1.0,13540591,5.36186,720.0,90.0072,439.426,1.0,0,2,-0.29242501182195113,0.4481795927632888,5.517614580941338
13541074,13.1326,720.0,90.0079,443.923,1.0,13541091,13.2915,720.0,90.0077,444.054,1.0,0,2,-0.31905280105864264,0.3880227247311794,13.360469923672536
13541591,21.1905,720.0,90.0081,452.636,1.0,13541608,21.5072,720.0,90.0082,453.062,1.0,0,2,-0.38757100224956353,1.254318001595081,22.37394699934552
13542108,25.2028,720.016,90.0102,465.409,1.0,13542124,25.0329,720.016,90.012,465.912,1.0,2,2,-0.5579036860512474,1.4516358319586296,25.926632145907384
13542624,13.8399,720.025,90.0297,476.503,1.0,13542641,13.5407,720.025,90.03,476.641,1.0,1,2,-0.8678721504751827,0.3758909858255777,13.048718835350394
13543141,4.9395,720.029,90.0168,480.872,1.0,13543158,4.75337,720.029,90.0168,480.97,1.0,1,2,-1.1056447601278547,0.2504644228452868,3.8981896627174324
13543658,-2.86299,720.029,90.0123,481.39,1.0,13543674,-3.11419,720.029,90.0119,481.331,1.0,1,2,-5.152383453756359,-0.14935439550326457,-10.301737849259624
13544174,-6.29247,720.026,90.0095,478.559,1.0,13544191,-6.26353,720.026,90.0098,478.496,1.0,2,2,-5.326191575626996,-0.16770080071449556,-10.493892376341492
13544691,-3.26842,720.023,90.0292,475.816,1.0,13544708,-2.98668,720.023,90.0333,475.751,1.0,0,2,-5.452908684646406,-0.1783851192673076,-5.631293803913714
13545208,3.57792,720.023,90.0071,475.738,1.0,13545224,3.8955,720.023,90.0086,475.811,1.0,0,2,-0.8327026780036775,0.2003562886235315,3.263153610619854
13545724,11.7861,720.027,90.0105,479.688,1.0,13545741,11.9439,720.027,90.011,479.806,1.0,0,2,-1.0307792751468918,0.3083235332485579,11.221444258101666
13546241,19.8383,720.034,90.0106,487.71,1.0,13546258,20.1537,720.034,90.011,488.108,1.0,0,2,-1.8723331922195392,0.7229002348458398,19.004267042626303
13546758,28.0091,720.048,90.0115,500.118,2.0,13546774,28.2578,720.036,90.0125,500.68,2.0,0,1,-1.7653821119458213,1.07273500910415,27.565152897158328
13547274,30.5314,717.509,90.0112,514.754,2.0,13547291,30.6318,717.425,90.0121,515.048,2.0,0,1,-1.3804378490621785,0.7077093645104071,29.959071515448226
13547774,35.8815,710.729,90.0123,529.835,2.0,13547808,36.2087,710.217,90.0146,530.787,2.0,0,2,-1.081309760600229,2.783722985911652,37.911113225311425
13548291,41.4123,702.087,90.0165,547.52,2.0,13548324,41.8486,701.413,90.0171,549.041,2.0,0,1,-1.421847482835112,3.796600219218533,44.22335273638342
13548808,44.8112,690.013,90.0409,566.577,2.0,13548841,44.8273,689.001,90.0383,567.46,2.0,0,2,-0.7746299695889789,3.7345323012338554,47.78720233164488
13549324,50.1092,669.098,90.0178,579.372,2.0,13549358,50.435,667.76,90.0198,580.067,2.0,0,2,-0.429372274012394,4.421349708688865,54.42697743467647
13549858,55.7566,643.903,90.0303,591.697,2.0,13549874,55.9166,642.853,90.0344,592.078,2.0,0,1,-0.37184606169749923,3.2944677726472165,58.83922171094972
13550358,58.8034,615.737,90.0237,594.726,2.0,13550391,59.0003,613.979,90.0192,594.554,2.0,0,0,-0.7305015112097646,4.975914438881624,63.24571292767186
13550891,62.1435,583.953,90.0145,596.591,3.0,13550891,62.1435,583.953,90.0145,596.591,3.0,0,1,0.0,0.0,62.1435
13551391,65.166,552.398,90.0355,598.325,3.0,13551408,65.2916,551.116,90.0344,598.089,3.0,0,2,-1.1916661487083617,3.2390785991134408,67.33901245040508
13551908,67.0117,519.286,90.0392,590.0,3.0,13551924,67.1442,517.969,90.0364,589.744,3.0,0,1,-1.2819016545086974,3.229165985324869,69.09146433081617
13552441,70.2293,485.428,90.0323,577.452,3.0,13552458,70.3451,484.267,90.0314,576.66,3.0,0,1,-0.5827275405891967,4.039396920884769,73.80176938029558
13552958,73.2843,461.077,90.0364,549.751,3.0,13552974,73.4176,460.408,90.0342,548.446,3.0,0,2,-0.40775593092092244,4.308879416056328,77.3187234851354
